Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,1.308000,1.340000,1.308000,1.330000,0.869277,1125000
2006-01-04,1.338000,1.358000,1.336000,1.349200,0.881826,580000
2006-01-05,1.352000,1.380000,1.347200,1.378000,0.900649,2110000
2006-01-06,1.400000,1.424000,1.380400,1.385600,0.905616,300000
2006-01-09,1.392000,1.397200,1.380800,1.394400,0.911368,212500
2006-01-10,1.378400,1.378400,1.356000,1.358000,0.887578,2065000
2006-01-11,1.370800,1.378400,1.367600,1.372000,0.896728,130000
2006-01-12,1.384000,1.413600,1.384000,1.408000,0.920258,470000
2006-01-13,1.406000,1.435600,1.384800,1.434800,0.937773,580000
2006-01-17,1.384000,1.389600,1.336400,1.360000,0.888885,1325000
2006-01-18,1.350000,1.350000,1.336000,1.342400,0.877382,265000
2006-01-19,1.359200,1.383200,1.359200,1.383200,0.904048,35000
2006-01-20,1.400000,1.405600,1.380000,1.384000,0.904571,410000
2006-01-23,1.384000,1.384000,1.368000,1.372000,0.896728,440000
2006-01-24,1.396800,1.405600,1.380000,1.380000,0.901956,200000
2006-01-25,1.370000,1.394800,1.360400,1.373600,0.897774,115000
2006-01-26,1.400000,1.411200,1.400000,1.410000,0.921565,45000
2006-01-27,1.426800,1.440000,1.404000,1.404000,0.917642,590000
2006-01-30,1.396000,1.396000,1.388400,1.392800,0.910322,360000
2006-01-31,1.392000,1.392000,1.376000,1.390000,0.908493,780000
2006-02-01,1.398000,1.398000,1.372000,1.380000,0.901956,5380000
2006-02-02,1.376000,1.376000,1.332800,1.346000,0.879734,1000000
2006-02-03,1.340800,1.354400,1.320000,1.332800,0.871107,515000
2006-02-06,1.365200,1.379600,1.356000,1.373600,0.897774,255000
2006-02-07,1.356000,1.356000,1.336000,1.336000,0.873199,195000
2006-02-08,1.336000,1.360000,1.332000,1.360000,0.888885,425000
2006-02-09,1.361200,1.385600,1.361200,1.379200,0.901434,345000
2006-02-10,1.402000,1.408000,1.379600,1.392000,0.909800,1365000
2006-02-13,1.386000,1.400000,1.385200,1.385600,0.905616,470000
2006-02-14,1.398000,1.404000,1.378400,1.400000,0.915028,3060000
2006-02-15,1.396000,1.440000,1.386000,1.440000,0.941172,1225000
2006-02-16,1.460000,1.470000,1.458000,1.466000,0.958165,710000
2006-02-17,1.472000,1.472000,1.464800,1.470800,0.961303,760000
2006-02-21,1.476000,1.504800,1.465600,1.476800,0.965224,1270000
2006-02-22,1.480000,1.494000,1.470400,1.481200,0.968100,490000
2006-02-23,1.480800,1.482000,1.437600,1.442000,0.942479,485000
2006-02-24,1.450000,1.456000,1.428000,1.450000,0.947708,645000
2006-02-27,1.464000,1.464400,1.441200,1.441200,0.941956,155000
2006-02-28,1.441600,1.444000,1.423600,1.428000,0.933329,115000
