Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,6.810000,7.150000,6.710000,7.150000,6.242866,1558400
2006-01-04,7.160000,7.630000,7.010000,7.530000,6.574655,2580500
2006-01-05,7.500000,7.500000,7.170000,7.340000,6.408761,3401200
2006-01-06,7.400000,7.900000,7.320000,7.450000,6.504805,2649600
2006-01-09,7.420000,7.550000,7.170000,7.360000,6.426222,2251200
2006-01-10,7.230000,7.580000,7.180000,7.460000,6.513536,1246200
2006-01-11,7.640000,7.680000,7.400000,7.410000,6.469880,1708000
2006-01-12,7.420000,7.420000,7.260000,7.350000,6.417491,1043600
2006-01-13,7.400000,7.470000,7.270000,7.350000,6.417491,1429000
2006-01-17,7.310000,7.320000,6.950000,7.020000,6.129359,2199000
2006-01-18,6.760000,6.860000,6.600000,6.610000,5.771377,2165800
2006-01-19,6.770000,7.160000,6.770000,7.030000,6.138093,2359200
2006-01-20,7.150000,7.350000,7.030000,7.170000,6.260328,1982800
2006-01-23,7.250000,7.360000,7.130000,7.320000,6.391299,1009700
2006-01-24,7.290000,7.290000,7.090000,7.210000,6.295256,1160500
2006-01-25,7.320000,7.440000,7.230000,7.350000,6.417491,1122800
2006-01-26,7.240000,7.830000,7.170000,7.790000,6.801669,1797900
2006-01-27,7.850000,7.970000,7.660000,7.770000,6.784206,1491900
2006-01-30,7.980000,8.200000,7.870000,8.150000,7.115993,1573400
2006-01-31,8.430000,8.640000,8.000000,8.050000,7.028681,2846100
2006-02-01,8.070000,8.520000,7.870000,8.440000,7.369201,1912800
2006-02-02,8.700000,9.120000,8.500000,9.000000,7.858150,2553800
2006-02-03,8.900000,8.970000,8.600000,8.880000,7.753378,1532100
2006-02-06,9.000000,9.130000,8.870000,9.100000,7.945468,1892300
2006-02-07,8.750000,8.890000,8.280000,8.490000,7.412861,2788300
2006-02-08,8.500000,8.640000,8.110000,8.410000,7.343008,1439500
2006-02-09,8.730000,8.880000,8.630000,8.720000,7.613678,1007500
2006-02-10,8.620000,8.620000,7.850000,8.340000,7.281890,2548900
2006-02-13,8.100000,8.400000,7.630000,7.820000,6.827863,1973100
2006-02-14,8.040000,8.040000,7.470000,7.790000,6.801669,1902300
2006-02-15,7.800000,7.910000,7.340000,7.440000,6.496074,1473500
2006-02-16,7.350000,7.800000,7.230000,7.700000,6.723086,1601900
2006-02-17,7.950000,8.140000,7.860000,8.030000,7.011218,1566000
2006-02-21,8.240000,8.590000,8.210000,8.580000,7.491443,1483400
2006-02-22,8.360000,8.660000,8.080000,8.450000,7.377933,2139800
2006-02-23,8.500000,8.500000,8.340000,8.430000,7.360471,1220800
2006-02-24,8.530000,9.050000,8.530000,8.960000,7.823226,1510800
2006-02-27,8.890000,9.000000,8.700000,8.900000,7.770842,1036700
2006-02-28,9.040000,9.050000,8.800000,8.960000,7.823226,1525100
2006-03-01,9.010000,9.100000,8.990000,9.000000,7.858150,1630100
2006-03-02,9.050000,9.160000,8.930000,9.120000,7.962929,2854800
2006-03-03,9.120000,9.280000,8.860000,9.270000,8.093898,1746700
2006-03-06,9.380000,9.440000,8.700000,9.160000,7.997852,2406500
2006-03-07,9.110000,9.110000,8.690000,8.790000,7.674796,1597000
2006-03-08,8.450000,8.550000,8.260000,8.480000,7.404125,1548100
2006-03-09,8.610000,8.950000,8.490000,8.500000,7.421591,1167100
2006-03-10,8.280000,8.850000,8.200000,8.700000,7.596212,1094900
2006-03-13,8.840000,8.840000,8.650000,8.720000,7.613678,681800
2006-03-14,8.700000,8.910000,8.660000,8.830000,7.709722,544500
2006-03-15,8.980000,9.030000,8.770000,8.840000,7.718452,1257500
2006-03-16,8.840000,8.900000,8.790000,8.800000,7.683527,699400
2006-03-17,8.830000,8.910000,8.750000,8.800000,7.683527,459300
2006-03-20,8.750000,8.910000,8.670000,8.730000,7.622409,615000
2006-03-21,8.500000,8.640000,8.320000,8.340000,7.281890,1059200
2006-03-22,8.250000,8.340000,8.140000,8.300000,7.246964,1031700
2006-03-23,8.220000,8.460000,8.030000,8.430000,7.360471,1651300
2006-03-24,8.590000,8.780000,8.500000,8.680000,7.578754,973100
2006-03-27,8.860000,9.180000,8.760000,9.100000,7.945468,1771200
2006-03-28,9.330000,9.330000,8.820000,8.950000,7.814497,1234600
2006-03-29,8.950000,9.230000,8.890000,9.210000,8.041510,1137800
2006-03-30,9.560000,9.750000,9.300000,9.320000,8.137553,1653300
2006-03-31,9.500000,9.500000,9.120000,9.260000,8.085167,1076800
2006-04-03,9.480000,9.720000,9.330000,9.660000,8.434418,1828800
2006-04-04,9.650000,10.390000,9.540000,10.390000,9.071799,2098200
2006-04-05,10.370000,11.180000,10.370000,10.910000,9.525829,3431800
2006-04-06,11.390000,11.420000,10.620000,10.990000,9.595678,2098000
2006-04-07,11.090000,11.200000,10.620000,11.120000,9.709187,1492600
2006-04-10,11.600000,11.640000,10.960000,11.030000,9.630607,2306100
2006-04-11,10.990000,11.140000,10.340000,10.490000,9.159116,2663400
2006-04-12,10.240000,10.470000,10.120000,10.330000,9.019412,2079500
2006-04-13,10.230000,10.250000,9.900000,10.230000,8.932100,2329600
2006-04-17,10.510000,11.170000,10.480000,11.080000,9.674259,2434800
2006-04-18,11.090000,11.250000,10.920000,10.970000,9.578216,1700200
2006-04-19,11.080000,11.340000,10.650000,11.200000,9.779037,2299600
2006-04-20,11.120000,11.200000,10.170000,10.260000,8.958296,2988000
2006-04-21,10.620000,10.730000,10.400000,10.700000,9.342471,1636400
2006-04-24,10.570000,10.660000,10.320000,10.440000,9.115456,1632300
2006-04-25,10.670000,10.840000,10.550000,10.580000,9.237694,1133200
2006-04-26,10.630000,10.950000,10.600000,10.850000,9.473440,1379900
2006-04-27,10.720000,10.910000,10.320000,10.430000,9.106723,1584900
2006-04-28,10.660000,11.070000,10.500000,11.020000,9.621870,2099500
2006-05-01,11.340000,11.340000,11.120000,11.210000,9.787768,1936400
2006-05-02,11.340000,11.390000,10.720000,11.090000,9.682993,2450500
2006-05-03,11.140000,11.180000,10.610000,10.780000,9.412320,1953000
2006-05-04,10.780000,11.010000,10.520000,11.000000,9.604411,2381400
2006-05-05,11.250000,11.300000,10.900000,11.010000,9.613144,1816300
2006-05-08,10.960000,10.970000,10.750000,10.900000,9.517096,1499900
2006-05-09,11.000000,12.250000,10.750000,12.200000,10.652162,4589900
2006-05-10,12.000000,12.360000,11.810000,12.230000,10.678356,1944100
2006-05-11,12.420000,12.420000,11.690000,11.740000,10.250522,2028700
2006-05-12,11.750000,11.980000,11.050000,11.320000,9.883811,2338700
2006-05-15,10.650000,10.790000,9.950000,10.160000,8.870982,3790000
2006-05-16,10.230000,10.480000,9.500000,9.860000,8.609042,3245400
2006-05-17,10.180000,10.500000,9.230000,9.300000,8.120090,3853300
2006-05-18,9.400000,9.540000,8.950000,9.160000,7.997852,2782200
2006-05-19,8.990000,9.270000,8.360000,9.200000,8.032778,4052200
2006-05-22,8.850000,9.300000,8.840000,9.300000,8.120090,2256600
2006-05-23,9.600000,9.830000,9.120000,9.230000,8.058972,2818600
2006-05-24,8.900000,9.080000,8.600000,8.800000,7.683527,2359900
2006-05-25,9.200000,9.600000,8.950000,9.580000,8.364566,2283800
2006-05-26,9.680000,9.940000,9.410000,9.820000,8.574120,1921000
2006-05-30,10.200000,10.310000,9.690000,9.760000,8.521729,1522100
2006-05-31,9.960000,10.320000,9.700000,10.220000,8.923369,2103500
2006-06-01,9.810000,10.040000,9.550000,9.960000,8.696356,2162600
2006-06-02,10.200000,10.280000,10.070000,10.140000,8.853518,1168500
2006-06-05,10.350000,10.400000,9.830000,9.910000,8.652700,1273500
2006-06-06,9.600000,9.750000,9.300000,9.370000,8.181212,1781000
2006-06-07,9.500000,9.900000,9.270000,9.320000,8.137553,4877800
2006-06-08,9.050000,9.100000,8.450000,9.010000,7.866883,4563100
2006-06-09,9.220000,9.330000,8.950000,8.990000,7.849420,1781200
2006-06-12,9.100000,9.140000,8.450000,8.480000,7.404125,2368100
2006-06-13,8.110000,8.230000,7.790000,7.810000,6.819131,4051900
2006-06-14,7.980000,8.140000,7.800000,8.100000,7.072338,2207300
2006-06-15,8.400000,8.760000,8.350000,8.750000,7.639873,2530700
2006-06-16,8.800000,9.050000,8.540000,9.050000,7.901809,2203500
2006-06-19,8.700000,8.840000,8.400000,8.410000,7.343008,1857200
2006-06-20,8.460000,8.750000,8.410000,8.630000,7.535094,1446100
2006-06-21,8.700000,9.220000,8.650000,9.070000,7.919272,1917700
2006-06-22,9.060000,9.230000,8.910000,9.130000,7.971660,1341800
2006-06-23,8.910000,9.580000,8.910000,9.470000,8.268526,1458600
2006-06-26,9.580000,9.670000,9.300000,9.410000,8.216134,1111100
2006-06-27,9.560000,9.600000,8.860000,8.860000,7.735917,1837800
