Date,Open,High,Low,Close,Adj Close,Volume
2010-03-12,8.250000,9.000000,8.160000,8.990000,8.990000,2995300
2010-03-15,8.650000,9.000000,8.650000,9.000000,9.000000,519400
2010-03-16,9.000000,9.000000,8.750000,8.860000,8.860000,87600
2010-03-17,8.850000,8.850000,8.690000,8.830000,8.830000,94800
2010-03-18,8.900000,8.900000,8.750000,8.840000,8.840000,65900
2010-03-19,8.750000,8.900000,8.690000,8.750000,8.750000,202900
2010-03-22,8.650000,8.750000,8.250000,8.600000,8.600000,52600
2010-03-23,8.510000,8.650000,8.270000,8.570000,8.570000,52100
2010-03-24,8.600000,8.600000,8.300000,8.600000,8.600000,58100
2010-03-25,8.730000,8.780000,8.430000,8.550000,8.550000,30200
2010-03-26,8.460000,8.810000,8.450000,8.810000,8.810000,27200
2010-03-29,8.810000,8.990000,8.750000,8.980000,8.980000,45500
2010-03-30,8.730000,8.990000,8.550000,8.870000,8.870000,59700
2010-03-31,8.630000,9.020000,8.590000,9.000000,9.000000,48000
2010-04-01,9.050000,9.070000,8.600000,9.070000,9.070000,43900
2010-04-05,9.000000,9.400000,8.950000,9.340000,9.340000,38200
2010-04-06,9.170000,9.250000,9.090000,9.230000,9.230000,18500
2010-04-07,9.200000,9.390000,9.010000,9.390000,9.390000,55300
2010-04-08,9.400000,9.610000,9.240000,9.310000,9.310000,34800
2010-04-09,9.240000,9.400000,9.180000,9.350000,9.350000,30500
2010-04-12,9.170000,9.500000,8.850000,9.500000,9.500000,46100
2010-04-13,9.190000,9.260000,8.810000,8.810000,8.810000,46000
2010-04-14,8.890000,9.000000,8.800000,8.880000,8.880000,31400
2010-04-15,8.800000,8.900000,8.550000,8.890000,8.890000,15400
2010-04-16,8.630000,9.000000,8.550000,8.900000,8.900000,37800
2010-04-19,8.900000,8.920000,8.770000,8.860000,8.860000,17100
2010-04-20,8.900000,9.390000,8.870000,9.390000,9.390000,26300
2010-04-21,9.540000,9.830000,9.540000,9.630000,9.630000,118200
2010-04-22,9.910000,9.910000,8.700000,9.000000,9.000000,83200
2010-04-23,9.100000,9.380000,8.900000,9.050000,9.050000,54800
2010-04-26,9.090000,9.390000,8.900000,9.040000,9.040000,38500
2010-04-27,9.190000,9.290000,8.910000,9.030000,9.030000,20200
2010-04-28,9.370000,9.390000,8.610000,8.820000,8.820000,82000
2010-04-29,9.240000,9.630000,8.950000,9.310000,9.310000,40600
2010-04-30,9.020000,9.490000,8.960000,9.460000,9.460000,28000
2010-05-03,9.530000,9.530000,8.600000,8.790000,8.790000,117300
2010-05-04,8.610000,9.120000,8.540000,8.720000,8.720000,31900
2010-05-05,8.580000,9.040000,8.400000,8.560000,8.560000,39700
2010-05-06,8.480000,8.790000,7.510000,7.900000,7.900000,89700
2010-05-07,7.770000,8.100000,7.010000,7.820000,7.820000,93700
2010-05-10,7.850000,8.210000,7.850000,7.920000,7.920000,22500
2010-05-11,7.940000,8.320000,7.730000,8.100000,8.100000,19300
2010-05-12,8.500000,8.900000,8.370000,8.760000,8.760000,49500
2010-05-13,8.400000,8.720000,8.260000,8.630000,8.630000,24300
2010-05-14,8.320000,8.690000,8.230000,8.500000,8.500000,31800
