Date,Open,High,Low,Close,Adj Close,Volume
2011-03-03,25.090000,25.180000,25.070000,25.129999,18.809664,1509700
2011-03-04,25.129999,25.129999,25.010000,25.080000,18.772238,189100
2011-03-07,25.230000,25.230000,25.010000,25.059999,18.757271,58100
2011-03-08,25.049999,25.070000,25.010000,25.010000,18.719841,178600
2011-03-09,25.030001,25.059999,25.000000,25.059999,18.757271,263200
2011-03-10,25.040001,25.049999,25.010000,25.030001,18.734816,373800
2011-03-11,25.030001,25.040001,24.969999,24.990000,18.704872,52700
2011-03-14,24.990000,25.000000,24.920000,24.920000,18.652475,65000
2011-03-15,24.790001,24.980000,24.570000,24.590000,18.405476,177700
2011-03-16,24.650000,24.670000,24.450001,24.530001,18.360559,66100
2011-03-17,24.670000,24.690001,24.600000,24.670000,18.465361,79900
2011-03-18,24.709999,24.840000,24.670000,24.830000,18.585112,94500
2011-03-21,24.900000,24.900000,24.799999,24.879999,18.622540,48900
2011-03-22,24.889999,24.900000,24.840000,24.900000,18.637505,61900
2011-03-23,24.950001,24.959999,24.780001,24.940001,18.667452,43500
2011-03-24,24.959999,24.980000,24.930000,24.969999,18.689909,37400
2011-03-25,24.980000,25.030001,24.969999,25.020000,18.727329,40700
2011-03-28,25.040001,25.049999,25.010000,25.040001,18.742294,146600
2011-03-29,25.040001,25.059999,25.000000,25.059999,18.757271,43900
2011-03-30,25.100000,25.110001,25.059999,25.110001,18.794695,75900
2011-03-31,25.150000,25.150000,25.040001,25.120001,18.802176,238500
2011-04-01,25.110001,25.110001,25.049999,25.100000,18.787209,83400
2011-04-04,25.200001,25.200001,25.110001,25.190001,18.854576,70300
2011-04-05,25.219999,25.219999,25.139999,25.190001,18.854576,108700
2011-04-06,25.160000,25.250000,25.160000,25.240000,18.891993,91900
2011-04-07,25.280001,25.299999,25.240000,25.280001,18.921930,128800
2011-04-08,25.299999,25.309999,25.260000,25.290001,18.929426,158500
2011-04-11,25.299999,25.330000,25.270000,25.309999,18.944384,213300
2011-04-12,25.270000,25.320000,25.270000,25.280001,18.921930,71400
2011-04-13,25.299999,25.309999,25.260000,25.309999,18.944384,240700
2011-04-14,25.280001,25.309999,25.250000,25.299999,18.936907,181400
2011-04-15,25.299999,25.299999,25.240000,25.270000,18.969933,182000
2011-04-18,25.160000,25.360001,25.139999,25.219999,18.932405,196800
2011-04-19,25.250000,25.260000,25.230000,25.250000,18.954924,153400
2011-04-20,25.280001,25.280001,25.219999,25.280001,18.977444,136000
2011-04-21,25.270000,25.280001,25.250000,25.280001,18.977444,113900
2011-04-25,25.280001,25.280001,25.250000,25.270000,18.969933,65200
2011-04-26,25.270000,25.280001,25.219999,25.260000,18.962421,117500
2011-04-27,25.280001,25.280001,25.250000,25.260000,18.962421,99800
2011-04-28,25.270000,25.280001,25.260000,25.280001,18.977444,232900
2011-04-29,25.270000,25.290001,25.260000,25.280001,18.977444,101000
2011-05-02,25.260000,25.290001,25.250000,25.280001,18.977444,103000
2011-05-03,25.299999,25.299999,25.240000,25.270000,18.969933,130000
2011-05-04,25.280001,25.280001,25.250000,25.270000,18.969933,58000
2011-05-05,25.270000,25.270000,25.240000,25.250000,18.954924,61700
2011-05-06,25.240000,25.270000,25.240000,25.270000,18.969933,66300
2011-05-09,25.309999,25.309999,25.250000,25.280001,18.977444,72000
2011-05-10,25.290001,25.290001,25.250000,25.280001,18.977444,265300
2011-05-11,25.299999,25.299999,25.250000,25.270000,18.969933,83700
2011-05-12,25.280001,25.280001,25.250000,25.250000,18.954924,71000
2011-05-13,25.219999,25.219999,25.170000,25.209999,18.982025,340400
2011-05-16,25.219999,25.219999,25.180000,25.200001,18.974508,150900
2011-05-17,25.209999,25.209999,25.180000,25.200001,18.974508,138600
2011-05-18,25.190001,25.190001,25.170000,25.190001,18.966970,112500
2011-05-19,25.190001,25.190001,25.150000,25.170000,18.951921,111500
2011-05-20,25.180000,25.180000,25.139999,25.160000,18.944378,101000
2011-05-23,25.110001,25.160000,25.100000,25.139999,18.929325,95900
2011-05-24,25.100000,25.129999,25.090000,25.129999,18.921799,189900
2011-05-25,25.110001,25.120001,25.059999,25.090000,18.891676,210200
2011-05-26,25.049999,25.090000,25.010000,25.049999,18.861553,88700
2011-05-27,25.070000,25.070000,25.000000,25.049999,18.861553,146800
2011-05-31,25.070000,25.080000,25.049999,25.080000,18.884148,82200
2011-06-01,25.090000,25.100000,25.070000,25.100000,18.899210,80200
2011-06-02,25.080000,25.090000,25.059999,25.090000,18.891676,107000
2011-06-03,25.070000,25.070000,25.030001,25.059999,18.869083,144800
2011-06-06,25.059999,25.059999,25.000000,25.030001,18.846498,94200
2011-06-07,24.990000,25.040001,24.920000,25.010000,18.831444,237300
2011-06-08,25.010000,25.010000,24.959999,24.980000,18.808847,51100
2011-06-09,24.950001,24.980000,24.920000,24.969999,18.801315,54300
2011-06-10,24.940001,24.950001,24.870001,24.920000,18.763674,192700
2011-06-13,24.940001,24.940001,24.879999,24.879999,18.733551,69500
2011-06-14,24.930000,24.930000,24.879999,24.930000,18.771202,92800
2011-06-15,24.850000,24.860001,24.799999,24.840000,18.761381,66200
2011-06-16,24.830000,24.830000,24.740000,24.740000,18.685850,70100
2011-06-17,24.719999,24.790001,24.670000,24.719999,18.670748,128200
2011-06-20,24.750000,24.760000,24.700001,24.730000,18.678303,36100
2011-06-21,24.760000,24.790001,24.700001,24.760000,18.700964,1582000
2011-06-22,24.709999,24.760000,24.690001,24.740000,18.685850,99800
2011-06-23,24.719999,24.730000,24.610001,24.620001,18.595222,427300
2011-06-24,24.670000,24.700001,24.629999,24.700001,18.655643,44400
2011-06-27,24.719999,24.740000,24.680000,24.690001,18.648087,132200
2011-06-28,24.730000,24.730000,24.690001,24.719999,18.670748,34700
2011-06-29,24.740000,24.750000,24.700001,24.750000,18.693407,92700
2011-06-30,24.799999,24.830000,24.760000,24.830000,18.753836,84600
2011-07-01,24.750000,24.910000,24.750000,24.879999,18.791597,100800
2011-07-05,24.930000,24.930000,24.870001,24.920000,18.821802,96700
2011-07-06,24.920000,24.930000,24.860001,24.930000,18.829355,33800
2011-07-07,24.930000,24.959999,24.850000,24.850000,18.768929,206400
