Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,3.090230,3.174509,3.044849,3.159382,2.474429,17128100
2006-01-04,3.159382,3.327940,3.144255,3.310652,2.592904,24816700
2006-01-05,3.310652,3.420863,3.308491,3.410058,2.670759,23601100
2006-01-06,3.457600,3.457600,3.349550,3.412219,2.672452,16620500
2006-01-09,3.412219,3.455439,3.405736,3.425185,2.682606,16989300
2006-01-10,3.345228,3.410058,3.327940,3.381965,2.648756,19643600
2006-01-11,3.386287,3.459761,3.386287,3.438151,2.692761,20849100
2006-01-12,3.414380,3.576455,3.403575,3.431668,2.687684,37630700
2006-01-13,3.431668,3.535396,3.425185,3.507303,2.746921,23487200
2006-01-17,3.479210,3.496498,3.435990,3.459761,2.709686,29139200
2006-01-18,3.349550,3.435990,3.338745,3.394931,2.658912,27998100
2006-01-19,3.455439,3.522430,3.448956,3.455439,2.706302,23021700
2006-01-20,3.479210,3.496498,3.360355,3.375482,2.643679,13332700
2006-01-23,3.511625,3.533235,3.444634,3.468405,2.716456,25861600
2006-01-24,3.477049,3.528913,3.446795,3.487854,2.731689,22320600
2006-01-25,3.522430,3.528913,3.362516,3.405736,2.667374,21880600
2006-01-26,3.466244,3.738530,3.455439,3.684505,2.885706,53338700
2006-01-27,3.684505,3.736369,3.582938,3.619675,2.834930,38666300
2006-01-30,3.619675,3.751496,3.615353,3.736369,2.926326,24707500
2006-01-31,3.716920,3.738530,3.632641,3.658573,2.865396,22323400
2006-02-01,3.658573,3.835775,3.654251,3.818487,2.990641,23347000
2006-02-02,3.824970,3.878995,3.740691,3.757979,2.943251,19911600
2006-02-03,3.757979,3.777428,3.684505,3.742852,2.931404,11577000
2006-02-06,3.783911,3.872512,3.742852,3.868190,3.029568,19903200
2006-02-07,3.866029,3.866029,3.738530,3.755818,2.941558,17107800
2006-02-08,3.818487,3.846580,3.781750,3.829292,2.999103,9751900
2006-02-09,3.835775,3.904927,3.708276,3.723403,2.916171,19336800
2006-02-10,3.742852,3.742852,3.593743,3.693149,2.892476,15161000
2006-02-13,3.652090,3.684505,3.271754,3.606709,2.824775,10945300
2006-02-14,3.613192,3.636963,3.541879,3.598065,2.818006,12659400
2006-02-15,3.606709,3.617514,3.526752,3.569972,2.796004,13611700
2006-02-16,3.613192,3.647768,3.580777,3.632641,2.845086,9183200
2006-02-17,3.457600,3.662895,3.457600,3.593743,2.814621,8868100
2006-02-21,3.606709,3.660734,3.500820,3.522430,2.758769,11448400
2006-02-22,3.522430,3.565650,3.502981,3.559167,2.787541,17590000
2006-02-23,3.537557,3.606709,3.518108,3.587260,2.809544,13954600
2006-02-24,3.567811,3.662895,3.524591,3.634802,2.846779,11824600
2006-02-27,3.669378,3.872512,3.645607,3.837936,3.005872,31435900
2006-02-28,3.827131,3.853063,3.719081,3.837936,3.005872,25968500
2006-03-01,3.842258,4.032426,3.818487,3.982723,3.119270,43619600
2006-03-02,3.982723,4.060519,3.933020,3.976240,3.114193,27495600
2006-03-03,3.913571,3.993528,3.889800,3.907088,3.060034,11036000
2006-03-06,3.922215,4.034587,3.885478,3.924376,3.073573,18167000
2006-03-07,3.924376,3.943825,3.753657,3.809843,2.983871,13147600
2006-03-08,3.807682,3.833614,3.723403,3.755818,2.941558,11894900
2006-03-09,3.764462,3.824970,3.712598,3.729886,2.921248,9885700
2006-03-10,3.736369,3.781750,3.665056,3.673700,2.877244,9446500
2006-03-13,3.703954,3.764462,3.699632,3.725564,2.917863,7192500
2006-03-14,3.723403,3.794716,3.721242,3.790394,2.968638,11175300
2006-03-15,3.805521,3.939503,3.805521,3.894122,3.049878,20166500
2006-03-16,3.911410,3.911410,3.779589,3.794716,2.972023,15081400
2006-03-17,3.803360,3.846580,3.766623,3.786072,2.965253,18277100
2006-03-20,3.786072,3.786072,3.636963,3.686666,2.887399,19850900
2006-03-21,3.695310,3.805521,3.658573,3.669378,2.873859,16504300
2006-03-22,3.669378,3.738530,3.608870,3.712598,2.907708,11871300
2006-03-23,3.697471,3.773106,3.675861,3.749335,2.936480,6483100
2006-03-24,3.749335,3.889800,3.654251,3.721242,2.914478,9190100
2006-03-27,3.714759,3.766623,3.697471,3.751496,2.938173,6028600
2006-03-28,3.727725,3.762301,3.632641,3.660734,2.867088,12574200
2006-03-29,3.669378,3.736369,3.636963,3.729886,2.921248,15490900
2006-03-30,3.770945,3.770945,3.626158,3.671539,2.875551,14479800
2006-03-31,3.662895,3.695310,3.600226,3.662895,2.868780,15220200
2006-04-03,3.684505,3.747174,3.647768,3.675861,2.878936,17117500
2006-04-04,3.675861,3.686666,3.587260,3.630480,2.843395,14369200
2006-04-05,3.608870,3.734208,3.608870,3.729886,2.921248,14153600
2006-04-06,3.729886,3.824970,3.712598,3.812004,2.985564,19378900
2006-04-07,3.812004,3.812004,3.675861,3.697471,2.895861,16527000
2006-04-10,3.697471,3.716920,3.630480,3.641285,2.851856,9546900
2006-04-11,3.641285,3.660734,3.518108,3.565650,2.792619,22152700
2006-04-12,3.608870,3.710437,3.604548,3.701793,2.899246,19701900
2006-04-13,3.701793,3.781750,3.684505,3.725564,2.917863,11692200
2006-04-17,3.764462,3.840097,3.712598,3.732047,2.922940,15865800
2006-04-18,3.766623,3.872512,3.762301,3.855224,3.019413,20725500
2006-04-19,3.855224,4.062680,3.814165,3.997850,3.131118,28695500
2006-04-20,3.965435,3.965435,3.792555,3.827131,2.997410,26373400
