Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,45.400002,46.860001,45.369999,46.700001,19.051579,3852900
2006-01-04,46.099998,46.389999,45.490002,46.299999,18.888393,3922500
2006-01-05,45.750000,45.880001,44.770000,45.220001,18.447803,3941500
2006-01-06,45.830002,46.180000,45.500000,45.860001,18.708891,2786900
2006-01-09,45.950001,45.990002,45.009998,45.049999,18.378454,2875700
2006-01-10,45.060001,45.919998,44.900002,45.560001,18.586504,3819800
2006-01-11,45.520000,45.580002,44.680000,45.400002,18.521233,3902400
2006-01-12,45.980000,46.320000,44.900002,45.610001,18.606905,5859100
2006-01-13,45.610001,46.029999,45.209999,45.910000,18.729292,3868200
2006-01-17,48.279999,48.840000,47.599998,48.330002,19.716551,4615200
2006-01-18,47.740002,48.090000,46.200001,46.419998,18.937342,4592400
2006-01-19,46.650002,48.040001,46.430000,47.900002,19.541126,4805000
2006-01-20,48.660000,49.000000,47.450001,47.599998,19.418739,4678100
2006-01-23,47.610001,48.290001,46.959999,48.090000,19.618643,4271300
2006-01-24,47.299999,47.619999,47.009998,47.049999,19.194361,3652800
2006-01-25,46.889999,47.209999,45.700001,46.150002,18.827198,4465300
2006-01-26,46.009998,46.720001,44.959999,46.480000,18.961826,5211400
2006-01-27,47.480000,47.889999,47.000000,47.110001,19.218838,3859900
2006-01-30,47.950001,49.360001,47.720001,49.230000,20.083714,4511300
2006-01-31,49.240002,49.930000,49.220001,49.860001,20.340721,3733000
2006-02-01,49.980000,50.049999,48.000000,48.160000,19.647192,5359500
2006-02-02,47.950001,48.740002,46.700001,47.430000,19.349384,5000700
2006-02-03,47.200001,47.360001,46.389999,46.779999,19.084215,4077700
2006-02-06,47.389999,48.450001,47.150002,47.650002,19.439142,3607700
2006-02-07,46.759998,47.020000,44.759998,45.020000,18.366211,4740700
2006-02-08,44.810001,45.000000,43.730000,44.389999,18.109198,4496000
2006-02-09,45.209999,45.299999,42.650002,42.689999,17.415668,6533100
2006-02-10,42.689999,42.980000,40.340000,41.849998,17.072989,8114400
2006-02-13,41.900002,42.340000,41.049999,41.759998,17.036270,4337100
2006-02-14,41.529999,41.950001,40.110001,41.320000,16.856775,6212000
2006-02-15,41.950001,42.500000,40.750000,40.970001,16.713989,6195400
2006-02-16,41.630001,42.849998,41.320000,42.840000,17.476862,4845200
2006-02-17,43.799999,43.950001,42.619999,42.990002,17.538059,3167000
2006-02-21,45.200001,45.200001,43.529999,43.650002,17.807304,3903400
2006-02-22,42.689999,42.849998,41.750000,42.040001,17.150499,5180400
2006-02-23,41.630001,42.680000,41.599998,42.009998,17.138262,4186500
2006-02-24,42.599998,42.599998,41.900002,42.040001,17.150499,2664100
2006-02-27,41.740002,41.790001,40.430000,40.500000,16.522245,3656900
2006-02-28,40.130001,41.480000,39.540001,41.310001,16.852688,4556400
2006-03-01,41.400002,42.189999,40.919998,41.799999,17.052595,3419600
2006-03-02,42.020000,43.240002,41.759998,43.230000,17.635965,3788200
2006-03-03,42.900002,44.169998,42.820000,43.910000,17.913374,3365400
2006-03-06,43.810001,44.430000,42.230000,43.049999,17.562542,4529000
2006-03-07,42.540001,42.540001,41.799999,42.099998,17.174982,3662400
2006-03-08,41.400002,43.009998,41.220001,42.720001,17.427917,4556000
2006-03-09,43.029999,43.450001,42.110001,42.799999,17.460554,3647700
2006-03-10,42.560001,43.320000,42.299999,42.860001,17.485023,3627900
2006-03-13,42.959999,44.590000,42.740002,44.180000,18.055119,3761000
2006-03-14,44.669998,46.849998,44.430000,46.590000,19.040022,7239100
2006-03-15,46.500000,47.599998,46.430000,47.400002,19.371046,4731500
2006-03-16,47.189999,48.619999,46.910000,48.110001,19.661201,4088100
2006-03-17,48.110001,48.110001,47.279999,47.939999,19.591721,3246100
2006-03-20,46.560001,46.939999,45.500000,45.849998,18.737598,4561700
2006-03-21,44.439999,46.500000,44.430000,46.119999,18.847939,4142600
2006-03-22,45.990002,46.900002,45.619999,46.299999,18.921501,2978500
2006-03-23,46.560001,46.840000,46.259998,46.779999,19.117664,2412900
2006-03-24,47.000000,47.980000,47.000000,47.910000,19.579470,2690400
2006-03-27,47.439999,47.849998,46.880001,47.580002,19.444603,2434700
2006-03-28,48.000000,48.090000,46.930000,47.080002,19.240274,3285300
2006-03-29,47.070000,48.160000,46.799999,47.970001,19.603985,2479700
2006-03-30,48.680000,49.040001,48.119999,48.299999,19.738848,2604900
2006-03-31,47.950001,47.959999,46.160000,46.730000,19.097235,3104800
2006-04-03,46.889999,48.240002,46.889999,47.099998,19.248446,3009900
2006-04-04,47.009998,48.860001,46.720001,48.770000,19.930923,3352000
2006-04-05,48.509998,49.020000,48.189999,48.430000,19.791977,3109800
