Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,60.500000,61.470001,60.279999,61.419998,43.505032,7778500
2006-01-04,61.650002,61.970001,61.540001,61.930000,43.866280,5231500
2006-01-05,61.619999,61.730000,61.480000,61.619999,43.646698,4953800
2006-01-06,62.160000,62.500000,61.990002,62.450001,44.234615,5326600
2006-01-09,62.369999,62.480000,62.189999,62.480000,44.255859,3057200
2006-01-10,61.490002,61.919998,61.490002,61.919998,43.859192,3608400
2006-01-11,61.889999,62.480000,61.889999,62.450001,44.234615,4077000
2006-01-12,62.099998,62.250000,61.820000,61.939999,43.873367,3438400
2006-01-13,61.790001,62.860001,61.750000,62.180000,44.043358,2582100
2006-01-17,61.189999,61.410000,61.070000,61.400002,43.490868,3501700
2006-01-18,60.669998,60.860001,60.270000,60.570000,42.902958,3444800
2006-01-19,60.930000,61.340000,60.860001,61.259998,43.391701,5194300
2006-01-20,61.400002,61.450001,60.209999,60.330002,42.732960,5101100
2006-01-23,60.970001,61.259998,60.860001,61.169998,43.327950,5957000
2006-01-24,61.220001,61.779999,61.160000,61.480000,43.547535,3037100
2006-01-25,61.700001,61.849998,61.400002,61.689999,43.696278,3563000
2006-01-26,62.220001,62.590000,62.119999,62.419998,44.213360,3474100
2006-01-27,62.889999,63.080002,62.450001,62.750000,44.447086,3571300
2006-01-30,62.720001,62.849998,62.619999,62.799999,44.482517,3050100
2006-01-31,62.860001,63.220001,62.700001,62.860001,44.525013,3681800
2006-02-01,62.880001,63.209999,62.830002,63.049999,44.659595,4100900
2006-02-02,62.770000,62.990002,62.250000,62.340000,44.156685,4136500
2006-02-03,61.930000,62.450001,61.820000,62.180000,44.043358,7103400
2006-02-06,62.360001,62.360001,61.889999,62.090000,43.979614,2528900
2006-02-07,62.020000,62.130001,61.430000,61.630001,43.653782,3779000
2006-02-08,61.500000,61.990002,61.279999,61.849998,43.809612,4463400
2006-02-09,62.119999,62.490002,61.880001,61.970001,43.894604,3885000
2006-02-10,62.180000,62.200001,61.490002,61.830002,43.795444,2125000
2006-02-13,61.299999,61.599998,61.250000,61.400002,43.490868,3482600
2006-02-14,61.299999,62.990002,61.270000,62.080002,43.972530,3066500
2006-02-15,61.709999,62.000000,61.270000,61.520000,43.575859,6430600
2006-02-16,61.580002,62.150002,61.470001,62.110001,43.993774,2418100
2006-02-17,61.650002,62.130001,61.549999,61.930000,43.866280,6936300
2006-02-21,62.150002,62.290001,61.849998,61.939999,43.873367,2872600
2006-02-22,62.099998,62.500000,61.930000,62.410000,44.206276,6620200
2006-02-23,62.730000,62.830002,62.410000,62.570000,44.319599,3203900
2006-02-24,62.700001,62.869999,62.590000,62.779999,44.468353,3580600
2006-02-27,62.919998,63.150002,62.830002,63.000000,44.624176,2755700
2006-02-28,62.779999,62.840000,62.400002,62.419998,44.213360,11384100
2006-03-01,62.869999,63.150002,62.680000,63.060001,44.666683,4076900
2006-03-02,62.650002,62.950001,62.410000,62.939999,44.581676,2822200
2006-03-03,62.480000,62.970001,62.380001,62.680000,44.397522,5237600
2006-03-06,62.910000,62.910000,62.310001,62.439999,44.227516,2946500
2006-03-07,61.750000,62.400002,61.509998,61.680000,43.689201,3858200
2006-03-08,61.509998,61.980000,61.360001,61.889999,43.837944,2873700
2006-03-09,62.180000,62.320000,61.810001,61.820000,43.788361,4765700
2006-03-10,62.119999,62.810001,61.910000,62.759998,44.454182,3744300
2006-03-13,63.119999,63.299999,63.000000,63.279999,44.822506,2515800
2006-03-14,63.250000,64.050003,63.150002,63.950001,45.297092,3769000
2006-03-15,64.059998,64.209999,63.730000,64.180000,45.459999,5171500
2006-03-16,64.099998,64.559998,64.019997,64.389999,45.608746,3464200
2006-03-17,64.599998,64.699997,64.309998,64.699997,45.828323,2797000
2006-03-20,65.010002,65.040001,64.639999,64.830002,45.920406,2259000
2006-03-21,64.529999,64.650002,64.050003,64.160004,45.445831,4341300
2006-03-22,64.480003,64.900002,64.370003,64.760002,45.870823,3161400
2006-03-23,64.400002,64.440002,63.770000,63.980000,45.318333,5467700
2006-03-24,64.070000,64.519997,63.939999,64.489998,45.679573,3362600
2006-03-27,64.360001,64.470001,64.099998,64.379997,45.601665,4893200
2006-03-28,64.339996,64.519997,63.650002,63.759998,45.162502,3977600
2006-03-29,64.050003,64.680000,63.970001,64.599998,45.757496,2738000
2006-03-30,64.870003,65.519997,64.860001,65.379997,46.309994,5073200
2006-03-31,65.050003,65.110001,64.820000,64.919998,45.984154,5380100
2006-04-03,65.180000,65.860001,65.120003,65.629997,46.487061,6945100
2006-04-04,65.800003,66.169998,65.739998,66.150002,46.855396,3560600
2006-04-05,66.169998,66.580002,66.050003,66.370003,47.011227,3615600
2006-04-06,66.449997,66.699997,66.150002,66.430000,47.053715,2806400
2006-04-07,66.419998,66.860001,65.510002,65.669998,46.515396,4531900
2006-04-10,65.849998,65.949997,65.629997,65.790001,46.600395,3222100
2006-04-11,65.849998,65.900002,65.150002,65.349998,46.288742,5924600
2006-04-12,65.160004,65.320000,64.870003,65.029999,46.062073,6929500
2006-04-13,64.970001,65.279999,64.879997,65.199997,46.182484,3974900
2006-04-17,65.570000,65.769997,65.320000,65.500000,46.394978,2309400
2006-04-18,66.070000,66.849998,65.650002,66.839996,47.344124,4494100
2006-04-19,66.620003,67.330002,66.489998,67.300003,47.669960,3753900
2006-04-20,66.980003,67.199997,66.809998,67.000000,47.457462,6370500
2006-04-21,67.449997,67.650002,67.110001,67.449997,47.776203,2464500
2006-04-24,67.379997,67.639999,67.139999,67.519997,47.825787,1778000
2006-04-25,67.699997,67.849998,67.230003,67.480003,47.797459,4088800
2006-04-26,67.750000,67.970001,67.650002,67.900002,48.094948,4610400
2006-04-27,67.139999,68.300003,67.139999,68.019997,48.179935,3101300
2006-04-28,67.849998,68.279999,67.220001,68.029999,48.187031,3910500
2006-05-01,68.699997,68.779999,67.910004,68.000000,48.165779,3377000
2006-05-02,68.820000,69.040001,68.690002,69.040001,48.902439,6046400
2006-05-03,68.779999,68.820000,65.750000,68.629997,48.612015,4595600
2006-05-04,68.629997,69.239998,68.550003,69.160004,48.987438,2996100
2006-05-05,69.650002,70.239998,69.199997,70.220001,49.738247,3404600
2006-05-08,70.400002,70.400002,70.019997,70.160004,49.695763,3313400
2006-05-09,70.320000,70.639999,70.230003,70.580002,49.993244,3747200
2006-05-10,70.349998,70.650002,70.139999,70.360001,49.837421,4080100
2006-05-11,70.330002,70.400002,69.459999,69.650002,49.334499,6549900
2006-05-12,69.419998,69.610001,68.610001,68.750000,48.697029,5935200
2006-05-15,67.870003,68.389999,67.629997,68.160004,48.279121,5947000
2006-05-16,68.279999,68.370003,67.680000,68.059998,48.208286,2687500
2006-05-17,67.610001,67.750000,65.620003,65.889999,46.671219,4996900
2006-05-18,66.239998,66.720001,65.529999,65.690002,46.529572,5215300
2006-05-19,65.650002,66.089996,65.239998,66.019997,46.763302,3712900
2006-05-22,64.349998,64.910004,63.930000,64.570000,45.736244,5725300
2006-05-23,65.120003,65.790001,64.589996,64.589996,45.750401,5083400
2006-05-24,64.660004,64.769997,63.750000,64.550003,45.722084,4414000
2006-05-25,64.970001,65.419998,64.709999,65.419998,46.338318,5204000
2006-05-26,65.949997,66.019997,65.349998,65.949997,46.713722,5687200
2006-05-30,65.500000,65.709999,64.800003,64.949997,46.005402,2933100
2006-05-31,65.330002,65.550003,64.970001,65.430000,46.345394,5671700
2006-06-01,64.750000,65.849998,64.470001,65.849998,46.642887,4111200
2006-06-02,66.639999,66.779999,66.050003,66.489998,47.096214,4277800
2006-06-05,66.250000,66.260002,64.930000,65.050003,46.076237,3549700
2006-06-06,64.550003,64.610001,63.700001,64.260002,45.516663,4594400
2006-06-07,63.950001,64.400002,63.380001,63.380001,44.893341,3892300
2006-06-08,62.049999,62.150002,61.090000,61.980000,43.901691,12178100
2006-06-09,62.540001,62.720001,61.840000,61.910000,43.852108,4961800
2006-06-12,62.299999,62.470001,61.310001,61.380001,43.476696,3024300
2006-06-13,60.299999,60.750000,59.400002,59.459999,42.116718,6131600
2006-06-14,60.410000,60.730000,59.849998,60.320000,42.725872,5532100
2006-06-15,61.509998,62.590000,61.349998,62.400002,44.199184,6355700
2006-06-16,62.139999,62.240002,61.740002,61.900002,43.845032,4610800
2006-06-19,62.189999,62.400002,61.450001,61.590000,43.625450,4358900
2006-06-20,61.849998,62.299999,61.599998,61.959999,43.887531,3953400
2006-06-21,62.000000,63.070000,61.959999,62.759998,44.454182,3138600
2006-06-22,62.639999,63.650002,62.169998,62.430000,44.220444,4670300
2006-06-23,62.070000,62.619999,61.980000,62.250000,44.092937,2508200
2006-06-26,62.480000,62.770000,62.230000,62.740002,44.440025,2044000
2006-06-27,62.680000,62.700001,61.549999,61.580002,43.618370,4121700
2006-06-28,62.099998,62.349998,61.810001,62.279999,44.114185,4952700
2006-06-29,62.810001,64.669998,62.810001,64.580002,45.743324,7741100
2006-06-30,65.279999,65.410004,64.930000,65.389999,46.317070,5907200
2006-07-03,65.500000,65.900002,65.360001,65.730003,46.557896,9164600
2006-07-05,64.900002,64.949997,64.199997,64.480003,45.672489,6388500
2006-07-06,64.889999,65.290001,64.860001,65.160004,46.154163,4385500
2006-07-07,65.440002,65.589996,64.849998,64.860001,45.941654,3124800
2006-07-10,65.400002,65.589996,65.190002,65.400002,46.324154,3957500
2006-07-11,65.150002,65.650002,64.699997,65.580002,46.451653,4199400
2006-07-12,64.769997,64.879997,64.150002,64.349998,45.580410,3154800
2006-07-13,63.750000,63.900002,63.099998,63.220001,44.780022,4183900
2006-07-14,62.880001,63.000000,61.500000,62.680000,44.397522,3555800
2006-07-17,61.630001,62.000000,61.560001,61.799999,43.774197,2899700
2006-07-18,61.799999,61.889999,60.930000,61.700001,43.703362,3659800
2006-07-19,63.490002,63.490002,61.389999,63.220001,44.780022,5192700
2006-07-20,63.459999,63.680000,62.799999,62.880001,44.539185,2644500
2006-07-21,63.270000,63.349998,62.799999,62.880001,44.539185,3641900
2006-07-24,63.180000,64.059998,63.130001,64.019997,45.346664,3025500
2006-07-25,64.059998,64.320000,63.619999,64.000000,45.332497,4507400
2006-07-26,63.919998,64.610001,63.740002,64.449997,45.651241,3045900
2006-07-27,65.410004,65.529999,64.580002,64.849998,45.934563,4190200
2006-07-28,65.449997,66.150002,65.410004,66.150002,46.855396,3029200
2006-07-31,65.940002,66.000000,65.750000,65.919998,46.692474,3475500
2006-08-01,65.500000,65.650002,64.980003,65.459999,46.366650,3778900
2006-08-02,65.820000,66.349998,65.820000,66.180000,46.876637,3247200
2006-08-03,65.480003,66.250000,65.400002,66.070000,46.798725,3939100
2006-08-04,66.540001,66.800003,65.879997,66.120003,46.834133,4047200
2006-08-07,65.639999,65.879997,65.500000,65.709999,46.543724,2061800
2006-08-08,65.699997,66.209999,65.320000,65.480003,46.380825,2627000
2006-08-09,66.370003,66.669998,65.779999,65.800003,46.607487,3065500
2006-08-10,65.730003,65.970001,65.470001,65.949997,46.713722,3848800
2006-08-11,65.430000,65.650002,65.220001,65.379997,46.309994,1996200
2006-08-14,65.889999,66.150002,65.589996,65.599998,46.465805,2221000
2006-08-15,66.800003,67.150002,66.680000,67.019997,47.471622,2887400
2006-08-16,67.550003,67.699997,67.370003,67.629997,47.903698,2618500
2006-08-17,67.550003,67.800003,67.250000,67.379997,47.726620,2464400
2006-08-18,67.550003,67.680000,67.169998,67.660004,47.924953,2019400
2006-08-21,67.529999,67.800003,67.440002,67.449997,47.776203,3163500
2006-08-22,67.199997,67.480003,67.000000,67.260002,47.641621,2552400
2006-08-23,67.449997,67.599998,66.900002,67.019997,47.471622,2570600
2006-08-24,67.349998,67.389999,66.660004,66.830002,47.337040,2849700
2006-08-25,66.820000,66.970001,66.629997,66.779999,47.301632,3690800
2006-08-28,66.830002,67.300003,66.760002,67.059998,47.499966,3573200
2006-08-29,67.459999,67.680000,66.980003,67.599998,47.882446,3565000
2006-08-30,67.879997,67.879997,67.480003,67.599998,47.882446,5866400
2006-08-31,67.959999,67.959999,67.500000,67.599998,47.882446,5035800
2006-09-01,67.820000,68.220001,67.750000,68.099998,48.236614,2611300
2006-09-05,68.379997,68.519997,68.120003,68.459999,48.491615,3383200
2006-09-06,67.680000,67.690002,67.230003,67.309998,47.677044,3474200
2006-09-07,66.599998,66.930000,66.360001,66.500000,47.103310,3539200
2006-09-08,66.480003,66.660004,66.360001,66.519997,47.117462,2230400
2006-09-11,66.139999,66.400002,65.779999,66.120003,46.834133,3626400
2006-09-12,66.379997,66.970001,66.250000,66.879997,47.372467,3787600
2006-09-13,66.599998,66.949997,66.480003,66.750000,47.280384,2231000
2006-09-14,66.879997,66.959999,66.720001,66.839996,47.344124,2314600
2006-09-15,67.029999,67.050003,66.519997,66.699997,47.244968,3204300
2006-09-18,66.599998,67.099998,66.540001,66.980003,47.443302,3239400
2006-09-19,66.900002,66.949997,66.000000,66.360001,47.004139,2981300
2006-09-20,66.900002,67.239998,66.849998,67.010002,47.464550,2951400
2006-09-21,67.470001,67.510002,67.029999,67.169998,47.577881,3259600
2006-09-22,67.309998,67.309998,66.709999,66.839996,47.344124,2685200
2006-09-25,67.000000,67.239998,66.250000,67.120003,47.542469,6174600
2006-09-26,66.800003,67.300003,66.800003,67.279999,47.655785,4046900
2006-09-27,67.500000,67.790001,67.480003,67.709999,47.960369,3299600
2006-09-28,67.870003,68.000000,67.620003,67.900002,48.094948,3508000
2006-09-29,67.849998,67.900002,67.660004,67.750000,47.988705,6423000
2006-10-02,68.050003,68.370003,67.900002,67.940002,48.123283,4369800
2006-10-03,67.769997,68.220001,67.610001,68.000000,48.165779,4013800
2006-10-04,67.830002,68.720001,67.769997,68.650002,48.626194,5653600
2006-10-05,68.669998,68.790001,68.120003,68.730003,48.682854,6165000
2006-10-06,68.269997,68.410004,67.919998,68.120003,48.250786,4727600
2006-10-09,67.959999,68.220001,67.860001,68.169998,48.286186,1671700
2006-10-10,68.330002,68.379997,68.010002,68.250000,48.342861,2482800
2006-10-11,68.129997,68.599998,67.959999,68.199997,48.307446,2174200
2006-10-12,68.430000,69.019997,68.430000,68.930000,48.824524,3457900
2006-10-13,68.879997,69.099998,68.680000,69.050003,48.909523,2296200
2006-10-16,69.220001,69.349998,69.080002,69.309998,49.093685,3775800
2006-10-17,68.989998,69.000000,68.550003,68.879997,48.789101,2322400
2006-10-18,69.190002,69.309998,68.800003,69.050003,48.909523,3554300
2006-10-19,69.279999,69.690002,69.209999,69.570000,49.277840,4728700
2006-10-20,69.790001,69.839996,69.389999,69.790001,49.433674,3792600
2006-10-23,69.339996,69.930000,69.250000,69.849998,49.476170,2221500
2006-10-24,69.639999,69.949997,69.559998,69.860001,49.483257,3483600
2006-10-25,69.949997,70.449997,69.879997,70.349998,49.830338,3332400
2006-10-26,70.720001,70.970001,70.410004,70.889999,50.212826,5856600
2006-10-27,70.699997,70.760002,70.300003,70.400002,49.865753,5966100
2006-10-30,70.180000,70.410004,70.040001,70.250000,49.759510,2264000
2006-10-31,70.180000,70.480003,70.080002,70.290001,49.787830,2783000
2006-11-01,70.919998,70.989998,70.059998,70.169998,49.702835,5579400
2006-11-02,70.190002,70.470001,70.120003,70.430000,49.887005,3685800
2006-11-03,70.449997,70.500000,70.070000,70.160004,49.695763,3242300
2006-11-06,70.639999,71.220001,70.510002,71.199997,50.432404,5598700
2006-11-07,71.400002,71.769997,71.190002,71.279999,50.489059,6005500
2006-11-08,70.900002,71.400002,70.849998,71.300003,50.503235,3607400
2006-11-09,71.010002,71.300003,70.830002,70.940002,50.248241,3768800
2006-11-10,71.250000,71.300003,71.050003,71.220001,50.446575,4116400
2006-11-13,70.879997,71.019997,70.709999,70.769997,50.127834,4064600
2006-11-14,71.440002,71.589996,70.879997,71.550003,50.680328,6901700
2006-11-15,71.099998,71.639999,71.000000,71.529999,50.666157,2810700
2006-11-16,71.419998,71.449997,71.180000,71.379997,50.559898,3451900
2006-11-17,70.620003,71.169998,70.449997,71.169998,50.411156,3346400
2006-11-20,70.540001,70.739998,70.440002,70.629997,50.028664,3933700
2006-11-21,70.790001,71.040001,70.680000,70.980003,50.276577,3291700
2006-11-22,71.559998,71.699997,71.389999,71.669998,50.765316,4944600
2006-11-24,71.430000,71.669998,71.290001,71.290001,50.496155,3341800
2006-11-27,71.449997,71.500000,70.629997,70.699997,50.078236,4632000
2006-11-28,70.800003,71.360001,70.779999,71.330002,50.524494,5369000
2006-11-29,71.949997,72.169998,71.739998,72.139999,51.098232,4843500
2006-11-30,72.500000,72.660004,72.190002,72.449997,51.317814,7728700
2006-12-01,72.540001,72.570000,71.830002,72.360001,51.254063,4977800
2006-12-04,72.300003,72.949997,72.199997,72.830002,51.586971,4143500
2006-12-05,72.940002,73.300003,72.809998,73.239998,51.877365,13172300
2006-12-06,72.949997,73.230003,72.849998,73.080002,51.764042,4641000
2006-12-07,73.660004,73.720001,73.250000,73.330002,51.941128,3735000
2006-12-08,73.449997,73.620003,72.989998,73.150002,51.813629,5172700
2006-12-11,73.070000,73.629997,73.029999,73.449997,52.026123,2909400
2006-12-12,73.559998,73.800003,73.230003,73.750000,52.238617,4246600
2006-12-13,73.879997,74.029999,73.730003,74.029999,52.436951,3111900
