Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,20.200001,21.030001,20.200001,20.959999,15.901736,1262900
2006-01-04,21.139999,21.290001,21.080000,21.280001,16.144514,1453300
2006-01-05,21.190001,21.200001,21.100000,21.200001,16.083822,531400
2006-01-06,21.379999,21.420000,21.250000,21.400000,16.235554,536700
2006-01-09,21.340000,21.350000,21.170000,21.270000,16.136925,427600
2006-01-10,21.049999,21.139999,21.030001,21.139999,16.038298,282800
2006-01-11,21.270000,21.350000,21.219999,21.340000,16.190031,397700
2006-01-12,21.580000,21.590000,21.080000,21.139999,16.038298,407600
2006-01-13,20.980000,21.170000,20.959999,21.170000,16.061060,486700
2006-01-17,21.049999,21.059999,20.910000,21.059999,15.977607,951300
2006-01-18,20.799999,20.900000,20.709999,20.860001,15.825868,886400
2006-01-19,20.920000,21.000000,20.850000,20.920000,15.871393,247100
2006-01-20,20.910000,20.910000,20.500000,20.510000,15.560337,983200
2006-01-23,20.790001,20.920000,20.750000,20.910000,15.863806,165800
2006-01-24,20.900000,21.000000,20.809999,20.950001,15.894149,349700
2006-01-25,21.200001,21.250000,21.049999,21.209999,16.091406,958900
2006-01-26,21.500000,21.719999,21.500000,21.719999,16.478331,1730400
2006-01-27,21.940001,21.940001,21.719999,21.780001,16.523851,1243400
2006-01-30,21.950001,21.950001,21.750000,21.840000,16.569368,720000
2006-01-31,21.830000,22.030001,21.750000,21.950001,16.652822,480700
2006-02-01,21.990000,22.120001,21.920000,22.110001,16.774210,381200
2006-02-02,22.059999,22.059999,21.709999,21.740000,16.493504,1027400
2006-02-03,21.549999,21.730000,21.360001,21.639999,16.417631,1003300
2006-02-06,21.600000,21.700001,21.520000,21.600000,16.387287,234200
2006-02-07,21.520000,21.639999,21.459999,21.469999,16.288660,415900
2006-02-08,21.600000,21.719999,21.469999,21.719999,16.478331,362000
2006-02-09,21.799999,21.930000,21.790001,21.809999,16.546610,711300
2006-02-10,21.940001,21.969999,21.650000,21.760000,16.508675,436600
2006-02-13,21.709999,21.850000,21.680000,21.760000,16.508675,1454100
2006-02-14,21.799999,22.000000,21.650000,22.000000,16.690758,1305300
2006-02-15,21.940001,22.040001,21.740000,21.870001,16.592131,657700
2006-02-16,21.930000,21.980000,21.809999,21.959999,16.660408,499100
2006-02-17,22.080000,22.120001,21.959999,22.120001,16.781796,502200
2006-02-21,22.200001,22.230000,21.950001,22.000000,16.690758,432000
2006-02-22,22.100000,22.290001,22.020000,22.290001,16.910770,456100
2006-02-23,22.350000,22.350000,22.150000,22.219999,16.857664,447700
2006-02-24,22.299999,22.330000,22.170000,22.219999,16.857664,334800
2006-02-27,22.200001,22.389999,22.200001,22.360001,16.963873,370600
2006-02-28,22.290001,22.299999,22.020000,22.049999,16.728689,1643100
2006-03-01,22.139999,22.350000,22.139999,22.350000,16.956291,718300
2006-03-02,22.120001,22.230000,22.010000,22.230000,16.865250,603000
2006-03-03,22.000000,22.080000,21.900000,22.000000,16.690758,2156200
2006-03-06,22.059999,22.129999,21.910000,21.950001,16.652822,368900
2006-03-07,21.709999,21.820000,21.660000,21.690001,16.455568,591600
2006-03-08,21.580000,21.690001,21.480000,21.670000,16.440397,2052400
2006-03-09,21.730000,21.780001,21.680000,21.690001,16.455568,1560900
2006-03-10,21.850000,22.080000,21.719999,22.010000,16.698343,789600
2006-03-13,22.280001,22.299999,22.200001,22.230000,16.865250,721700
2006-03-14,22.190001,22.549999,22.190001,22.549999,17.108025,948900
2006-03-15,22.719999,22.750000,22.590000,22.750000,17.259760,565600
2006-03-16,22.840000,22.910000,22.700001,22.889999,17.365974,1187900
2006-03-17,22.930000,22.930000,22.740000,22.870001,17.350805,284500
2006-03-20,23.000000,23.000000,22.840000,22.950001,17.411495,311100
2006-03-21,22.840000,22.870001,22.670000,22.719999,17.237000,439600
2006-03-22,22.660000,22.910000,22.650000,22.910000,17.381145,1301600
2006-03-23,22.860001,22.889999,22.590000,22.690001,17.214239,238000
2006-03-24,22.760000,22.879999,22.650000,22.879999,17.358383,823900
2006-03-27,22.760000,22.760000,22.590000,22.680000,17.206650,576900
2006-03-28,22.600000,22.719999,22.480000,22.520000,17.085266,703600
2006-03-29,22.580000,22.790001,22.500000,22.730000,17.244585,605200
2006-03-30,22.870001,23.170000,22.870001,23.100000,17.525293,902500
2006-03-31,23.120001,23.139999,22.950001,23.049999,17.487360,546100
2006-04-03,23.120001,23.299999,23.040001,23.230000,17.623922,819900
2006-04-04,23.459999,23.610001,23.370001,23.570000,17.881868,861700
2006-04-05,23.650000,23.670000,23.530001,23.660000,17.950148,464800
2006-04-06,23.580000,23.610001,23.420000,23.540001,17.859112,628600
2006-04-07,23.469999,23.480000,22.950001,22.959999,17.419077,896200
2006-04-10,23.049999,23.200001,23.049999,23.139999,17.555639,246400
2006-04-11,23.139999,23.139999,22.750000,22.790001,17.290106,608200
2006-04-12,22.790001,22.850000,22.730000,22.799999,17.297693,514500
2006-04-13,22.700001,22.860001,22.660000,22.830000,17.320448,838100
2006-04-17,23.030001,23.150000,23.020000,23.100000,17.525293,956400
2006-04-18,23.110001,23.379999,23.049999,23.379999,17.737720,711200
2006-04-19,23.440001,23.740000,23.389999,23.719999,17.995670,872400
2006-04-20,23.700001,23.870001,23.670000,23.870001,18.109467,1015100
2006-04-21,23.990000,24.100000,23.879999,23.940001,18.162577,527200
2006-04-24,24.270000,24.270000,23.830000,24.110001,18.291553,878900
2006-04-25,24.160000,24.180000,23.910000,24.110001,18.291553,1468100
2006-04-26,24.190001,24.309999,24.160000,24.270000,18.412939,788300
2006-04-27,23.930000,24.330000,23.910000,24.299999,18.435699,469800
2006-04-28,24.180000,24.280001,24.100000,24.170000,18.337072,502500
2006-05-01,24.299999,24.420000,24.090000,24.110001,18.291553,391700
2006-05-02,24.400000,24.440001,24.330000,24.430000,18.534328,3127500
2006-05-03,24.299999,24.299999,24.020000,24.110001,18.291553,987700
2006-05-04,24.180000,24.559999,24.180000,24.510000,18.595018,426000
2006-05-05,24.770000,24.950001,24.680000,24.940001,18.921249,825900
2006-05-08,25.030001,25.030001,24.830000,24.860001,18.860556,532600
2006-05-09,24.940001,25.020000,24.860001,25.000000,18.966770,747000
2006-05-10,25.020000,25.090000,24.900000,25.080000,19.027466,358300
2006-05-11,25.000000,25.000000,24.680000,24.709999,18.746752,821100
2006-05-12,24.549999,24.600000,24.160000,24.240000,18.390177,1107600
2006-05-15,23.889999,24.040001,23.740000,23.870001,18.109467,1111200
2006-05-16,24.100000,24.110001,23.760000,23.940001,18.162577,1309300
2006-05-17,23.610001,23.700001,22.830000,22.850000,17.335629,1381400
2006-05-18,23.120001,23.250000,22.850000,22.900000,17.373558,763000
2006-05-19,22.860001,23.100000,22.730000,23.040001,17.479774,566300
2006-05-22,22.600000,22.719999,22.330000,22.610001,17.153543,838900
2006-05-23,22.900000,23.209999,22.780001,22.809999,17.305277,690600
2006-05-24,22.700001,22.809999,22.389999,22.719999,17.237000,3435900
2006-05-25,22.950001,23.260000,22.910000,23.240000,17.631510,578900
2006-05-26,23.430000,23.430000,23.180000,23.320000,17.692202,671100
2006-05-30,23.150000,23.200001,22.830000,22.830000,17.320448,775200
2006-05-31,23.030001,23.209999,22.950001,23.110001,17.532881,400500
2006-06-01,22.799999,23.299999,22.719999,23.299999,17.677029,1173700
2006-06-02,23.670000,23.670000,23.240000,23.379999,17.737720,273600
2006-06-05,23.280001,23.290001,22.799999,22.809999,17.305277,817000
2006-06-06,22.559999,22.610001,22.209999,22.469999,17.047335,990300
2006-06-07,22.280001,22.559999,22.209999,22.219999,16.857664,366600
2006-06-08,21.740000,21.870001,21.299999,21.780001,16.523851,1279500
2006-06-09,21.920000,21.950001,21.549999,21.580000,16.372112,325600
2006-06-12,21.549999,21.610001,21.250000,21.250000,16.121752,797900
2006-06-13,20.980000,21.160000,20.629999,20.670000,15.681725,1557300
2006-06-14,20.920000,21.150000,20.799999,20.959999,15.901736,979500
2006-06-15,21.360001,21.750000,21.360001,21.740000,16.493504,749500
2006-06-16,21.520000,21.650000,21.370001,21.500000,16.311420,273200
2006-06-19,21.670000,21.740000,21.389999,21.400000,16.235554,751700
2006-06-20,21.480000,21.889999,21.480000,21.690001,16.455568,270700
2006-06-21,21.690001,22.200001,21.690001,22.120001,16.781796,1068500
2006-06-22,22.020000,22.070000,21.809999,22.000000,16.690758,443200
2006-06-23,21.730000,22.000000,21.730000,21.950001,16.652822,104800
2006-06-26,21.879999,22.049999,21.809999,21.990000,16.683168,182800
2006-06-27,22.100000,22.100000,21.500000,21.650000,16.425220,349800
2006-06-28,21.740000,21.750000,21.590000,21.670000,16.440397,93400
2006-06-29,21.930000,22.620001,21.930000,22.610001,17.153543,1762300
2006-06-30,22.930000,23.010000,22.780001,22.940001,17.403904,333100
2006-07-03,22.980000,23.280001,22.969999,23.280001,17.661856,374400
2006-07-05,22.719999,22.809999,22.520000,22.719999,17.237000,943100
2006-07-06,22.840000,22.990000,22.790001,22.950001,17.411495,259700
2006-07-07,22.860001,23.040001,22.770000,22.770000,17.274937,365100
2006-07-10,22.879999,22.959999,22.799999,22.889999,17.365974,167200
2006-07-11,22.610001,22.809999,22.459999,22.780001,17.282522,785900
2006-07-12,22.760000,22.760000,22.320000,22.379999,16.979048,1258800
2006-07-13,22.090000,22.139999,21.879999,21.920000,16.630060,926800
