Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,43.279999,43.840000,43.060001,43.810001,28.670048,974700
2006-01-04,44.029999,44.340000,43.950001,44.330002,29.010347,685400
2006-01-05,44.180000,44.290001,44.080002,44.169998,28.905638,617300
2006-01-06,44.560001,44.759998,44.410000,44.750000,29.285187,268800
2006-01-09,44.419998,44.439999,44.259998,44.400002,29.056145,53500
2006-01-10,43.860001,44.200001,43.860001,44.200001,28.925266,443700
2006-01-11,44.290001,44.580002,44.270000,44.529999,29.141224,349900
2006-01-12,44.009998,44.230000,43.939999,44.000000,28.794380,310200
2006-01-13,43.750000,44.040001,43.720001,44.029999,28.814013,375000
2006-01-17,43.520000,43.740002,43.500000,43.740002,28.624231,28600
2006-01-18,43.299999,43.459999,43.020000,43.259998,28.310114,210700
2006-01-19,43.369999,43.700001,43.299999,43.570000,28.512985,74500
2006-01-20,43.500000,43.500000,42.730000,42.779999,27.995989,81400
2006-01-23,43.380001,43.520000,43.259998,43.410000,28.408270,631400
2006-01-24,43.490002,43.599998,43.369999,43.490002,28.460627,302200
2006-01-25,43.779999,43.939999,43.599998,43.820000,28.676582,138400
2006-01-26,44.330002,44.660000,44.330002,44.660000,29.226292,135800
2006-01-27,44.799999,44.860001,44.380001,44.380001,29.043056,557300
2006-01-30,44.520000,44.639999,44.450001,44.590000,29.180487,67500
2006-01-31,44.630001,45.060001,44.599998,44.990002,29.442259,168300
2006-02-01,44.820000,45.119999,44.799999,45.020000,29.461889,87700
2006-02-02,44.930000,45.009998,44.430000,44.509998,29.128132,125500
2006-02-03,43.910000,44.389999,43.840000,44.209999,28.931816,209500
2006-02-06,44.209999,44.209999,44.000000,44.029999,28.814013,89200
2006-02-07,44.009998,44.130001,43.770000,43.820000,28.676582,26600
2006-02-08,44.020000,44.169998,43.820000,44.169998,28.905638,151600
2006-02-09,44.560001,44.740002,44.430000,44.490002,29.115046,285600
2006-02-10,44.590000,44.590000,44.060001,44.320000,29.003794,74500
2006-02-13,43.980000,44.430000,43.980000,44.259998,28.964521,608500
2006-02-14,44.119999,44.759998,44.040001,44.740002,29.278645,143000
2006-02-15,44.500000,44.750000,44.160000,44.330002,29.010347,418300
2006-02-16,44.480000,44.750000,44.439999,44.750000,29.285187,62200
2006-02-17,44.820000,45.070000,44.740002,45.029999,29.468430,607400
2006-02-21,45.220001,45.220001,44.880001,45.000000,29.448799,147000
2006-02-22,45.150002,45.570000,45.119999,45.570000,29.821815,241800
2006-02-23,45.500000,45.580002,45.299999,45.369999,29.690937,154700
2006-02-24,45.299999,45.549999,45.299999,45.410000,29.717112,38900
2006-02-27,45.330002,45.590000,45.330002,45.430000,29.730196,26800
2006-02-28,45.220001,45.240002,44.930000,44.939999,29.409531,388300
2006-03-01,45.330002,45.419998,45.119999,45.380001,29.697481,121500
2006-03-02,45.130001,45.330002,44.939999,45.330002,29.664755,442400
2006-03-03,44.910000,45.200001,44.860001,45.130001,29.533873,526300
2006-03-06,45.279999,45.279999,44.849998,44.889999,29.376808,328600
2006-03-07,44.349998,44.599998,44.299999,44.490002,29.115046,375200
2006-03-08,44.250000,44.619999,44.169998,44.570000,29.167404,942000
2006-03-09,44.709999,44.799999,44.570000,44.599998,29.187035,268200
2006-03-10,44.730000,45.360001,44.689999,45.349998,29.677845,598800
2006-03-13,45.580002,45.660000,45.520000,45.660000,29.880713,1303300
2006-03-14,45.650002,46.259998,45.650002,46.240002,30.260279,281900
2006-03-15,46.470001,46.520000,46.200001,46.430000,30.384613,118800
2006-03-16,46.549999,46.880001,46.529999,46.750000,30.594028,440300
2006-03-17,46.740002,46.810001,46.540001,46.770000,30.639240,55900
2006-03-20,46.900002,46.910000,46.650002,46.740002,30.619574,62500
2006-03-21,46.540001,46.669998,46.330002,46.400002,30.396843,448500
2006-03-22,46.520000,46.820000,46.520000,46.820000,30.671978,549600
2006-03-23,46.500000,46.630001,46.080002,46.230000,30.285484,138000
2006-03-24,46.270000,46.549999,46.169998,46.490002,30.455801,429800
2006-03-27,46.060001,46.200001,45.849998,45.990002,30.128265,743200
2006-03-28,46.029999,46.119999,45.560001,45.599998,29.872763,627000
2006-03-29,45.779999,46.230000,45.750000,46.040001,30.161005,49500
2006-03-30,46.660000,47.049999,46.660000,46.869999,30.704744,517300
2006-03-31,46.810001,46.810001,46.529999,46.630001,30.547525,752100
2006-04-03,46.650002,47.090000,46.549999,46.900002,30.724398,597700
2006-04-04,47.160000,47.439999,47.070000,47.299999,30.986452,219300
2006-04-05,47.400002,47.560001,47.250000,47.500000,31.117451,144700
2006-04-06,47.250000,47.250000,46.939999,47.209999,30.927479,1296300
2006-04-07,46.900002,46.900002,46.150002,46.200001,30.265839,516100
2006-04-10,46.439999,46.500000,46.259998,46.320000,30.344440,1992600
