Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,7.720000,7.830000,7.660000,7.830000,5.826796,16903100
2006-01-04,7.830000,8.080000,7.820000,8.010000,5.960745,35623400
2006-01-05,8.050000,8.400000,8.030000,8.350000,6.213762,31978000
2006-01-06,8.300000,8.660000,8.270000,8.520000,6.340269,40420800
2006-01-09,8.650000,8.860000,8.600000,8.620000,6.414684,28957700
2006-01-10,8.680000,8.910000,8.530000,8.770000,6.526309,27937500
2006-01-11,8.810000,8.960000,8.770000,8.930000,6.645374,30517300
2006-01-12,8.860000,8.870000,8.500000,8.560000,6.370034,30717300
2006-01-13,8.560000,8.640000,8.430000,8.550000,6.362593,24687200
2006-01-17,8.550000,8.580000,8.190000,8.310000,6.183994,19838800
2006-01-18,8.310000,8.320000,8.160000,8.210000,6.109576,17702100
2006-01-19,8.200000,8.370000,8.160000,8.220000,6.117018,19518000
2006-01-20,8.300000,8.300000,7.850000,7.900000,5.878888,40848900
2006-01-23,8.300000,8.590000,8.270000,8.320000,6.191435,65652200
2006-01-24,8.400000,8.420000,8.150000,8.400000,6.250969,31666900
2006-01-25,8.420000,8.630000,8.290000,8.620000,6.414684,32393300
2006-01-26,8.600000,8.750000,8.400000,8.670000,6.527620,35831300
2006-01-27,8.680000,8.810000,8.520000,8.650000,6.512561,30720200
2006-01-30,8.660000,8.800000,8.570000,8.680000,6.535149,22826900
2006-01-31,8.690000,8.700000,8.560000,8.580000,6.459858,14053300
2006-02-01,8.530000,8.700000,8.450000,8.660000,6.520090,31311700
2006-02-02,8.670000,8.680000,8.260000,8.370000,6.301750,23637000
2006-02-03,8.370000,8.420000,8.230000,8.260000,6.218931,18328100
2006-02-06,8.260000,8.300000,8.050000,8.110000,6.105997,14899100
2006-02-07,8.180000,8.180000,8.050000,8.090000,6.090939,14134100
2006-02-08,8.080000,8.240000,8.020000,8.230000,6.196344,19157800
2006-02-09,8.220000,8.430000,8.210000,8.360000,6.294222,15484400
2006-02-10,8.340000,8.340000,8.150000,8.270000,6.226459,12496800
2006-02-13,8.350000,8.350000,8.170000,8.200000,6.173757,9458300
2006-02-14,8.230000,8.320000,8.170000,8.300000,6.249047,11397000
2006-02-15,8.300000,8.390000,8.270000,8.380000,6.309279,9238100
2006-02-16,8.420000,8.500000,8.310000,8.390000,6.316808,17408300
2006-02-17,8.430000,8.490000,8.420000,8.450000,6.361982,11355800
2006-02-21,8.450000,8.460000,8.310000,8.390000,6.316808,10310400
2006-02-22,8.410000,8.440000,8.280000,8.300000,6.249047,13909900
2006-02-23,8.300000,8.300000,8.150000,8.170000,6.151171,15635000
2006-02-24,8.210000,8.210000,8.060000,8.100000,6.098468,12344600
2006-02-27,8.150000,8.210000,8.080000,8.080000,6.083408,13314900
2006-02-28,8.090000,8.160000,7.960000,7.970000,6.000590,23747200
2006-03-01,8.000000,8.020000,7.860000,7.950000,5.985533,30593500
2006-03-02,7.960000,7.970000,7.650000,7.660000,5.767192,32937200
2006-03-03,7.660000,7.710000,7.390000,7.570000,5.699432,39011500
2006-03-06,7.620000,7.760000,7.610000,7.690000,5.789780,18848100
2006-03-07,7.750000,7.770000,7.600000,7.650000,5.759664,18189300
2006-03-08,7.650000,7.680000,7.520000,7.550000,5.684374,19993400
2006-03-09,7.600000,7.790000,7.570000,7.750000,5.834953,29037900
2006-03-10,7.810000,7.870000,7.780000,7.840000,5.902714,15903800
2006-03-13,7.850000,7.900000,7.800000,7.860000,5.917772,19333300
2006-03-14,7.800000,7.820000,7.700000,7.730000,5.819895,14880700
2006-03-15,7.780000,7.860000,7.730000,7.850000,5.910244,11224900
2006-03-16,7.850000,7.930000,7.750000,7.930000,5.970475,24833300
2006-03-17,7.930000,7.950000,7.800000,7.810000,5.880126,19214700
2006-03-20,7.850000,7.940000,7.810000,7.930000,5.970475,12274600
2006-03-21,7.980000,8.050000,7.890000,8.050000,6.060823,24026600
2006-03-22,8.100000,8.160000,8.070000,8.150000,6.136111,24115300
2006-03-23,8.150000,8.150000,7.930000,8.080000,6.083408,17972800
2006-03-24,8.040000,8.250000,7.960000,8.090000,6.090939,15183800
2006-03-27,8.090000,8.180000,8.050000,8.060000,6.068353,18647300
2006-03-28,8.080000,8.220000,8.040000,8.130000,6.121055,17244200
2006-03-29,8.110000,8.280000,8.080000,8.260000,6.218931,23400100
2006-03-30,8.280000,8.290000,8.140000,8.160000,6.143641,15024400
2006-03-31,8.230000,8.230000,7.940000,7.960000,5.993062,19844700
2006-04-03,8.050000,8.050000,7.740000,7.770000,5.850011,30977600
2006-04-04,7.770000,7.820000,7.660000,7.680000,5.782250,24538900
2006-04-05,7.680000,7.710000,7.460000,7.570000,5.699432,34559900
2006-04-06,7.590000,7.670000,7.550000,7.650000,5.759664,22895800
2006-04-07,7.700000,7.750000,7.560000,7.600000,5.722020,13831600
2006-04-10,7.610000,7.650000,7.500000,7.520000,5.661788,13766300
2006-04-11,7.540000,7.540000,7.130000,7.170000,5.398273,42789600
2006-04-12,7.260000,7.380000,7.180000,7.280000,5.481092,34584900
