Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,15.813953,16.795866,15.736434,16.597761,13.884596,3321500
2006-01-04,16.408268,16.580534,16.287683,16.520241,13.819746,2157100
2006-01-05,15.934539,16.192938,15.676141,16.072351,13.445069,2043300
2006-01-06,16.382429,16.925064,16.365202,16.925064,14.158394,2075800
2006-01-09,16.692507,16.847546,16.408268,16.649441,13.927828,1527900
2006-01-10,16.614986,16.658054,16.124031,16.537468,13.834157,1674900
2006-01-11,16.537468,16.675280,16.270456,16.675280,13.949439,1112900
2006-01-12,16.296297,16.399656,15.874247,16.003445,13.387427,1880900
2006-01-13,16.554695,17.019810,16.485788,16.925064,14.158394,2488000
2006-01-17,17.286821,17.527992,16.959518,17.260983,14.439399,3491100
2006-01-18,17.278208,17.390181,16.821705,17.071489,14.280885,3619700
2006-01-19,17.777779,17.984497,17.433247,17.812231,14.900539,2100800
2006-01-20,18.087854,18.260120,17.269596,17.493540,14.633945,3352300
2006-01-23,18.139534,18.139534,17.441860,17.743324,14.842896,2518900
2006-01-24,17.605513,17.950043,17.312662,17.812231,14.900539,1671700
2006-01-25,18.466839,18.587425,18.010336,18.475452,15.455345,2618100
2006-01-26,18.673557,18.819983,18.466839,18.621878,15.577836,3540500
2006-01-27,19.052542,19.285099,18.475452,18.742464,15.678711,2357700
2006-01-30,18.906115,19.302326,18.802755,19.302326,16.147055,2022500
2006-01-31,19.793282,20.628769,19.741602,20.310078,16.990072,3741200
2006-02-01,20.714901,20.818260,20.155039,20.689060,17.307102,3688600
2006-02-02,20.671835,20.740740,19.896641,20.611542,17.242260,3447500
2006-02-03,20.086132,20.180878,19.086994,19.293713,16.139854,3850300
2006-02-06,19.776054,20.585703,19.776054,20.525410,17.170204,2522600
2006-02-07,19.939707,19.948320,18.441000,18.673557,15.621067,4849200
2006-02-08,18.923342,19.224806,18.441000,18.949183,15.851635,3395800
2006-02-09,19.672695,19.879414,19.534883,19.689922,16.471289,2400900
2006-02-10,19.965548,20.034452,18.570198,19.388458,16.219109,6015200
2006-02-13,19.242033,19.379845,18.234282,18.587425,15.549014,2470400
2006-02-14,18.578812,18.949183,18.337641,18.639105,15.592254,2742200
2006-02-15,18.604650,18.837210,17.665806,18.010336,15.066262,2994200
2006-02-16,18.010336,18.604650,17.958656,18.354866,15.354476,2094400
2006-02-17,19.121447,19.534883,19.052542,19.448751,16.269548,2881100
2006-02-21,19.681309,19.844961,19.474590,19.758829,16.528934,2402100
2006-02-22,19.758829,19.965548,19.500431,19.836348,16.593781,1441700
2006-02-23,19.974161,19.982773,19.362617,19.414297,16.240719,1777000
2006-02-24,19.638243,19.965548,19.379845,19.965548,16.701862,1475000
2006-02-27,19.552111,19.715763,19.233419,19.362617,16.197491,1005500
2006-02-28,19.259260,19.491817,18.759689,19.147287,16.017359,1510400
2006-03-01,19.147287,20.223946,19.147287,19.982773,16.716270,3562600
2006-03-02,18.914728,19.293713,18.096468,18.578812,15.541810,13305000
2006-03-03,17.915590,18.130922,17.717485,17.855297,14.936566,8580000
2006-03-06,17.562447,17.846684,16.511627,16.925064,14.158394,4586200
2006-03-07,16.347977,16.701120,16.175711,16.365202,13.690048,4056400
2006-03-08,15.977606,16.322136,15.641688,16.106804,13.473890,5971900
2006-03-09,16.365202,16.701120,16.106804,16.115417,13.481095,4794400
2006-03-10,15.934539,16.546082,15.805340,16.365202,13.690048,2719200
2006-03-13,16.580534,16.899225,16.442722,16.589148,13.877385,1887700
2006-03-14,16.752800,17.114557,16.649441,17.054264,14.266474,2336800
2006-03-15,17.364342,17.441860,16.968130,17.416021,14.569096,2227400
2006-03-16,17.329887,17.347115,16.847546,17.019810,14.237650,2158900
2006-03-17,17.269596,17.321276,17.011198,17.235142,14.417785,1712900
2006-03-20,17.312662,17.510767,17.019810,17.019810,14.237650,1314300
2006-03-21,17.028423,17.174849,16.477175,16.761412,14.021491,1927900
2006-03-22,16.950905,17.114557,16.847546,16.985357,14.208831,1134900
2006-03-23,16.942291,17.226528,16.761412,17.226528,14.410578,1820900
2006-03-24,17.217916,17.717485,17.123169,17.674419,14.785254,2826200
2006-03-27,17.872524,18.389320,17.760551,18.113695,15.152720,3452900
2006-03-28,17.872524,17.958656,17.459087,17.493540,14.633945,1504000
2006-03-29,17.502153,18.156761,17.476313,18.096468,15.138314,1717000
2006-03-30,18.621878,19.181740,18.518518,19.104221,15.981330,4151500
2006-03-31,18.828596,19.242033,18.613264,18.931955,15.837226,1914100
2006-04-03,19.207581,19.810509,19.155901,19.422911,16.247927,2827000
2006-04-04,19.422911,19.724375,19.224806,19.379845,16.211905,1390600
2006-04-05,19.621016,19.879414,19.534883,19.827734,16.586580,2107900
2006-04-06,20.094746,20.232557,19.819122,20.232557,16.925222,2883600
2006-04-07,19.612404,19.905254,19.302326,19.767443,16.536139,2714700
2006-04-10,19.939707,20.077518,18.656330,18.854435,15.772378,5114200
2006-04-11,19.448751,19.724375,18.630491,18.647718,15.599454,4351000
2006-04-12,19.198967,19.776054,19.164513,19.776054,16.543344,2751600
2006-04-13,19.612404,19.965548,19.354006,19.965548,16.701862,2114400
2006-04-17,20.361757,20.801033,20.163652,20.671835,17.292698,2184500
2006-04-18,21.059431,21.524548,20.869940,21.395350,17.897943,2871800
2006-04-19,21.421188,22.308355,21.343670,22.308355,18.661699,3746800
2006-04-20,22.308355,22.515074,20.482344,20.542635,17.184612,7941000
2006-04-21,21.317829,22.566753,21.042206,22.299742,18.654491,4536900
2006-04-24,21.714039,22.015503,21.335056,21.507320,17.991608,3006700
2006-04-25,21.559000,21.834625,21.145565,21.602068,18.070868,2948500
2006-04-26,21.610680,22.299742,21.395350,22.136089,18.517591,2712400
2006-04-27,21.481482,22.170542,21.024979,21.042206,17.602522,2806800
2006-04-28,21.481482,21.998278,21.352282,21.886305,18.308640,3408400
2006-05-01,22.351421,22.437553,21.774332,21.869078,18.294230,1879500
2006-05-02,21.662359,22.222221,21.412575,22.170542,18.546413,2567800
2006-05-03,22.230835,22.230835,21.369509,21.834625,18.265409,1988200
2006-05-04,21.257536,21.731266,21.111111,21.593454,18.063660,2631700
2006-05-05,21.490095,21.541775,20.413437,20.844099,17.436802,3213500
2006-05-08,19.939707,20.232557,19.431524,20.172266,16.874788,3861700
2006-05-09,20.353144,21.679586,20.344530,21.447029,17.941174,4604000
2006-05-10,21.421188,21.946598,21.257536,21.877691,18.301435,3263800
2006-05-11,22.308355,23.212748,22.196383,22.678724,18.971523,5795800
2006-05-12,22.609819,22.764858,20.964685,21.326443,17.840298,4980400
2006-05-15,19.767443,20.241171,19.267872,19.982773,16.716270,6381200
2006-05-16,19.724375,19.956934,18.785530,19.405685,16.233515,4707600
2006-05-17,19.913868,20.439276,19.130060,19.440138,16.262341,7160100
2006-05-18,19.612404,19.939707,19.155901,19.354006,16.190289,3384400
2006-05-19,19.190353,19.190353,17.140396,18.372093,15.368880,7990600
2006-05-22,17.364342,17.829458,16.597761,17.700258,14.806870,6937400
2006-05-23,18.053402,18.561584,17.751938,17.820845,14.907748,3336300
2006-05-24,17.209303,17.683031,16.761412,17.071489,14.280885,3930300
2006-05-25,17.484926,18.242893,17.355728,18.165375,15.195957,2647000
2006-05-26,18.260120,18.509905,17.674419,18.329027,15.332856,2059600
2006-05-30,18.664944,19.147287,17.743324,17.820845,14.907748,3196800
2006-05-31,18.682171,19.078381,18.561584,18.871662,15.786787,4949900
2006-06-01,17.441860,18.406546,17.390181,18.346252,15.347267,3767900
2006-06-02,18.346252,18.363480,17.872524,18.105082,15.145517,3110700
2006-06-05,18.303186,18.518518,17.708872,17.734711,14.835690,2310500
2006-06-06,17.123169,17.209303,16.649441,16.864771,14.107958,3651400
2006-06-07,16.261843,17.062878,16.201550,16.477175,13.783719,3790500
2006-06-08,15.676141,15.943152,14.952627,15.900086,13.300966,6402600
2006-06-09,15.934539,16.253229,15.521103,15.719208,13.149652,2982300
2006-06-12,15.994832,16.115417,15.236865,15.236865,12.746156,2429000
2006-06-13,14.229113,14.737295,13.919035,14.177433,11.859905,6745200
2006-06-14,14.384151,14.909561,14.160207,14.590870,12.205759,3988600
2006-06-15,14.944014,15.521103,14.737295,15.452196,12.926289,4590800
2006-06-16,15.572783,15.874247,15.124892,15.581395,13.034370,4794200
2006-06-19,15.322997,15.434970,14.866494,14.883721,12.450743,2089500
2006-06-20,15.099052,15.693368,15.030147,15.564169,13.019958,2556100
2006-06-21,15.564169,16.830318,15.564169,16.804480,14.057519,4864800
2006-06-22,16.925064,17.941429,16.925064,17.527992,14.662761,6063700
2006-06-23,16.701120,17.812231,16.623600,17.571060,14.698791,3076500
2006-06-26,17.924204,18.079243,17.691645,18.079243,15.123904,3368000
2006-06-27,17.958656,18.165375,17.708872,17.726099,14.828485,4256400
2006-06-28,17.950043,18.130922,17.657192,17.846684,14.929359,2362000
2006-06-29,17.993109,19.388458,17.993109,19.379845,16.211905,3199300
2006-06-30,19.776054,19.819122,19.414297,19.724375,16.500113,2661900
2006-07-03,20.232557,20.577089,20.043066,20.577089,17.213440,1330600
2006-07-05,20.602928,20.611542,19.664083,19.939707,16.680246,3908600
2006-07-06,20.060293,20.404823,19.905254,20.353144,17.026098,2500000
2006-07-07,20.353144,21.085272,20.155039,20.249784,16.939634,2945500
2006-07-10,20.094746,20.551249,19.974161,20.310078,16.990072,2042000
2006-07-11,20.465117,20.757967,20.249784,20.757967,17.364746,1812400
2006-07-12,20.766581,21.085272,20.353144,20.585703,17.220642,3293800
2006-07-13,20.223946,20.413437,19.526270,19.767443,16.536139,2524700
2006-07-14,19.982773,20.111973,19.629629,19.931093,16.673040,1705300
2006-07-17,20.034452,20.422050,19.982773,20.111973,16.824354,3593200
2006-07-18,20.215332,20.301464,19.285099,19.552111,16.356010,2705800
2006-07-19,19.336779,20.241171,19.259260,20.241171,16.932428,3332400
2006-07-20,19.827734,19.974161,19.052542,19.052542,15.938100,2451900
2006-07-21,19.052542,19.061153,17.751938,17.751938,14.850097,5245600
2006-07-24,17.484926,18.036175,17.235142,17.993109,15.051851,3383700
2006-07-25,17.872524,18.285961,17.450474,18.122309,15.159928,2505000
2006-07-26,17.717485,18.372093,17.596899,18.199827,15.224775,2255800
